id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,MoodScore,ReplayScore,UniquenessScore,NFT_Valuation,Tier,Clean Artist,Track Key,NFT Description,Preview URL,Spotify Link
7Kp5L6Lzxp6pSXqJ7vlWz2,Surrender,['Kut Klose'],316227,2/21/95,1995,0.0457,0.703,0.449,0.0,0.119,-9.521,0.0302,120.213,0.506,0,1,44,0,0.5353,0.71959625,0.7732722444273336,0.6711953608282001,Common,Kut Klose,surrender - kut klose,,,
0EEdXt7JdYq6ft5lOXiyDq,Boogie Woogie Fiddle Country Blues,['The Charlie Daniels Band'],205600,1988,1988,0.129,0.587,0.746,5.36e-06,0.33,-12.782,0.0336,155.021,0.953,1,0,30,0,0.78905,0.6289382433333334,6.645834868633998,2.4900463457568662,Legendary,The Charlie Daniels Band,boogie woogie fiddle country blues - the charlie daniels band,,,
43YRMmofucudgY8BwFjlBa,Poinciana,"['Cal Tjader', 'Eddie Palmieri']",206600,2/1/64,1964,0.806,0.717,0.154,0.918,0.116,-18.081,0.0523,125.932,0.853,1,10,22,0,0.57435,0.6344416666666666,1.9042344533660016,0.9943474193431338,Legendary,Cal Tjader,poinciana - cal tjader,,,
2AYEOC02WLhUiOoaig2SEH,Out of My League,['Fitz and The Tantrums'],209386,5/7/13,2013,0.0387,0.545,0.968,0.00325,0.331,-3.553,0.0853,169.965,0.527,0,9,72,0,0.68585,0.56633375,9.110419019967336,3.1713900184902,Legendary,Fitz and The Tantrums,out of my league - fitz and the tantrums,,,
39BYRAiJhO6fWPJTDYhMxm,What Katie Did,['The Libertines'],229840,2004,2004,0.0811,0.447,0.582,5.49e-05,0.105,-6.44,0.0394,169.449,0.45,1,9,54,0,0.49545,0.547287525,8.980710329967337,3.059171232740201,Legendary,The Libertines,what katie did - the libertines,,,
2HBZXNL42YtnkERUEJRRto,Shed a Little Light,['James Taylor'],256133,6/30/93,1993,0.654,0.328,0.454,0.0,0.744,-12.462,0.0608,85.738,0.531,1,10,31,0,0.4533,0.6578208333333333,5.207236672241332,1.951063293339066,Legendary,James Taylor,shed a little light - james taylor,,,
1zVd1qRvMZDNCiI1pmNb6c,After The Dance - Vocal - Extended Alternate Mix,['Marvin Gaye'],309987,3/16/76,1976,0.748,0.748,0.637,0.00951,0.156,-8.402,0.0387,112.74,0.806,0,1,23,0,0.7323500000000001,0.8564974999999999,0.7865146544479996,0.7920510213343998,Rare,Marvin Gaye,after the dance - vocal - extended alternate mix - marvin gaye,,,
1dIYsviqWVfAOmkvZm8WQ2,1 Trillion Dollar$ - Dirty Version,['Anti-Flag'],150667,2006,2006,0.195,0.636,0.743,1.31e-06,0.0912,-3.921,0.0271,107.164,0.377,1,3,46,1,0.5698500000000001,0.7030580058333333,1.7019398683006652,0.9560997625318662,Legendary,Anti-Flag,1 trillion dollar$ - dirty version - anti-flag,,,
7lqDKfbqbWpDvoPPxz6xTN,"Fire - Live at the Winterland, San Francisco, CA - December 1978",['Bruce Springsteen'],192667,11/10/86,1986,0.204,0.433,0.32,9.18e-05,0.983,-21.363,0.173,120.071,0.522,1,7,41,0,0.42905,0.6705291333333333,0.7323657377606677,0.604562417994867,Common,Bruce Springsteen,"fire - live at the winterland, san francisco, ca - december 1978 - bruce springsteen",,,
2j1mCe3bCFx6wzMh6T90i9,"Roxanne, Roxanne",['Utfo'],311360,1996,1996,0.0342,0.925,0.955,0.0,0.198,-6.317,0.292,100.429,0.641,1,1,37,0,0.8219000000000001,0.7435670833333334,2.9283318286339983,1.4264130277568663,Legendary,Utfo,"roxanne, roxanne - utfo",,,
0eqtORN4tiKYr2Nzf9qECs,"Die Lustige Witwe (2001 - Remaster), Act I: Ich bin eine anständ'ge Frau (Valencienne/Camille)","['Franz Lehár', 'Emmy Loose/Nicolai Gedda/Philharmonia Orchestra/Otto Ackermann', 'Otto Ackermann', 'Philharmonia Orchestra']",191400,1953,1953,0.984,0.361,0.134,2.44e-06,0.374,-18.615,0.0684,88.406,0.341,1,0,0,0,0.27355,0.7392785566666666,4.896144523574664,1.8233333519057324,Legendary,Franz Lehár,"die lustige witwe (2001 - remaster), act i: ich bin eine anständ'ge frau (valencienne/camille) - franz lehár",,,
17ojiWSJ1Fzw8GekowIV4x,Where Is the Sun?,['Billie Holiday'],165560,1937,1937,0.939,0.563,0.17,0.0,0.575,-12.284,0.0399,81.84,0.399,1,10,4,0,0.35985,0.7772,5.941652803574665,2.1804633410723997,Legendary,Billie Holiday,where is the sun? - billie holiday,,,
1zLunDGKySWa7Gwsif5Ckc,No More Doggin',['John Lee Hooker'],164933,1960,1960,0.895,0.73,0.102,0.000993,0.0809,-17.232,0.0702,136.108,0.277,1,11,16,0,0.329,0.8641934166666667,3.5157912369080027,1.472355066905734,Legendary,John Lee Hooker,no more doggin' - john lee hooker,,,
48BiMRj0jHp9TYYaqRH3rJ,Main Pritam Ki Gun Gaoon Re,['Saraswati Rane'],171671,1/1/46,1946,0.995,0.522,0.17,0.691,0.365,-13.386,0.0657,66.783,0.624,1,1,0,0,0.4396,0.5719812500000001,8.513589313366,2.9081302315098,Legendary,Saraswati Rane,main pritam ki gun gaoon re - saraswati rane,,,
2w3eXFL86RgxGtDr8bzwgK,A Message,['Coldplay'],285345,6/7/05,2005,0.327,0.566,0.459,0.000253,0.202,-9.488,0.0289,116.916,0.151,1,1,62,0,0.36255,0.72871175,0.2115134110940008,0.4453956358282002,Common,Coldplay,a message - coldplay,,,
1D4paexsSVFpKkE2TQfza7,I'm In The Mood For Love,['André Previn'],132267,1954,1954,0.943,0.373,0.182,0.861,0.11,-16.036,0.0319,84.908,0.0879,1,2,1,0,0.19211,0.5121416666666667,5.592680904699332,1.924292354743133,Legendary,André Previn,i'm in the mood for love - andré previn,,,
